time,imu_LTx,imu_RTx,imu_Lvel,imu_Rvel,nn_torque_left,nn_torque_right,nn_qHr_left,nn_qHr_right,nn_L_P,nn_L_D,nn_R_P,nn_R_D,gait_cycle
6.06,-47.3967,6.3079,112.9761,82.7026,-86.90318279335597,81.98955701588879,-1.2959409689214685,1.4747420102824476,-64.79704844607342,-37.31732018019693,73.73710051412237,24.34458143492267,5
6.07,-44.6666,7.0495,146.0571,72.2046,-89.87618832735765,84.45030040235949,-1.3187818461206244,1.5012380426905403,-65.93909230603123,-36.556192865700176,75.06190213452702,24.45236504048928,5
6.08,-43.0022,7.7361,171.0815,67.8101,-92.54518991689253,86.8047119534864,-1.337911024715819,1.523920700439277,-66.89555123579095,-35.58729467686397,76.19603502196385,24.527352476669968,5
6.09,-41.0906,7.7361,195.4956,67.8101,-94.89723125889212,89.04172043367929,-1.3528574277077,1.5425062522359911,-67.64287138538499,-34.40687605978545,77.12531261179956,24.56755164156298,5
6.1,-38.9922,8.6754,211.792,46.6309,-96.91917952952498,91.14900221672896,-1.3631374899495485,1.5566851587947044,-68.15687449747743,-33.016361571752874,77.83425793973522,24.569805377795603,5
6.11,-36.8718,9.5598,206.2988,43.7012,-98.59757942769232,93.11309245978407,-1.368455764461611,1.5662221656639892,-68.42278822308056,-31.426857262687733,78.31110828319946,24.526771482700397,5
6.12,-36.8718,9.5598,206.2988,43.7012,-99.91910207431364,94.91956829286482,-1.3688588784303382,1.5710083567502675,-68.44294392151691,-29.66005029410036,78.55041783751338,24.436158441387807,5
6.13,-34.9767,9.9498,177.7954,40.5273,-100.87155934756301,96.55342830426807,-1.3644693314116811,1.5709194123441963,-68.22346657058405,-27.745619120281237,78.54597061720982,24.30093084158013,5
6.14,-31.6863,10.2465,174.2554,28.8696,-101.44502169365185,97.99958126806268,-1.3552629334794404,1.565941594499171,-67.76314667397202,-25.717467438545803,78.29707972495855,24.121194595035792,5
6.15,-29.6373,10.2465,201.2939,28.8696,-101.63247102248178,99.24338076661115,-1.3410563430829385,1.5563036713848168,-67.05281715414692,-23.59492059400658,77.81518356924084,23.895236602696606,5
6.16,-27.5774,10.5816,201.1108,5.9814,-101.42964090955579,100.27118512120784,-1.3214754272334306,1.5422201616141598,-66.07377136167153,-21.382283894559574,77.11100808070799,23.619785499496658,5
6.17,-25.4186,10.3948,213.623,-21.9727,-100.83424543674025,101.07069018212786,-1.2960885433887692,1.5237982732843087,-64.80442716943845,-19.086441424637112,76.18991366421544,23.282898295441704,5
6.18,-23.1115,9.3731,226.6846,-70.0684,-99.84520095519142,101.63074975183677,-1.2646454027351877,1.5009708690363437,-63.23227013675938,-16.714305204980143,75.04854345181718,22.861483743244488,5
6.19,-23.1115,9.3731,226.6846,-70.0684,-98.4621860595888,101.94071804587315,-1.227042656003728,1.4734505066352046,-61.352132800186396,-14.272317064604541,73.67252533176023,22.335373751945273,5
6.2,-20.7769,8.4282,225.1587,-93.3838,-96.68551156818347,101.98978691395793,-1.1831897531342492,1.4410157447827092,-59.159487656712464,-11.772953995440506,72.05078723913546,21.69880686664236,5
6.21,-16.8932,7.2692,165.1001,-113.7085,-94.51636511687575,101.76681091534536,-1.133191211380271,1.4036978510802545,-56.65956056901354,-9.245254409425678,70.18489255401272,20.947967812107095,5
6.22,-15.4869,5.9453,129.2114,-129.6997,-91.95776236775092,101.26064964447544,-1.0775960298898606,1.361827389583088,-53.87980149449303,-6.737911355342633,68.0913694791544,20.076766145321137,5
6.23,-14.4158,4.4787,97.229,-143.8599,-89.01620170874897,100.46081984632669,-1.017321424246496,1.315850890103152,-50.866071212324805,-4.296866739290898,65.79254450515761,19.083229281824238,5
6.24,-13.5259,2.9076,84.7168,-158.0811,-85.70331305293996,99.35821408189348,-0.9533974841675575,1.2661278609635858,-47.66987420837788,-1.9519083854376844,63.30639304817929,17.967864742373198,5
6.25,-12.7019,-0.1576,83.0688,-155.0293,-82.0367688728645,97.94567010594979,-0.8867803156610365,1.2129557987014483,-44.33901578305183,0.28259558930648065,60.64778993507242,16.73602334560923,5
6.26,-12.7019,-0.1576,83.0688,-155.0293,-78.0402582499899,96.21840856828852,-0.8182658622157943,1.1566132096992778,-40.913293110789716,2.403906759280167,57.83066048496389,15.400370475565472,5
6.27,-11.8999,-1.6352,83.374,-159.4849,-73.74273077369568,94.17442206885114,-0.7484970841557004,1.0973996810323885,-37.42485420778502,4.4133202019926,54.869984051619426,13.97445240924844,5
6.28,-10.2355,-1.6352,93.3228,-159.4849,-69.17724043736447,91.8147627293049,-0.6779841305642907,1.0356563628699325,-33.899206528214535,6.315218943273098,51.78281814349662,12.469254230542195,5
6.29,-9.2907,-3.4205,93.689,-198.4253,-64.37961143753594,89.1436089415682,-0.607088319878491,0.9717306393708414,-30.35441599392455,8.116353634549728,48.58653196854207,10.887085680614108,5
6.3,-8.3733,-3.4205,97.29,-198.4253,-59.38707019056963,86.1680154996259,-0.5360615136614618,0.905953336583145,-26.80307568307309,9.821815810279091,45.29766682915725,9.2223100437126,5
6.31,-7.4614,-3.4205,95.2148,-198.4253,-54.23702784270609,82.89751043951817,-0.4651403050517299,0.8386646452781296,-23.257015252586495,11.434576220999942,41.933232263906476,7.479161866206824,5
6.32,-7.4614,-13.2368,95.2148,-257.6904,-48.9661353953319,79.34375356899693,-0.3945404426455293,0.7701770898677245,-19.727022132276463,12.956294405192812,38.508854493386224,5.657072634866224,5
6.33,-6.5001,-15.923,103.5767,-268.6768,-43.60955414693909,75.52002105499426,-0.3244001187389007,0.700685883926721,-16.220005936945032,14.390426822193847,35.03429419633605,3.7394397166962285,5
6.34,-5.3905,-18.5926,104.6143,-267.6392,-38.20033530925129,71.4404378054634,-0.25485683164571293,0.6302963761656728,-12.742841582285646,15.743142605885028,31.51481880828364,1.7229323735046276,5
